,Date,Pump price in pence/litre (ULSP),Pump price in pence/litre (ULSD),Duty rate in pence/litre (ULSP),Duty rate in pence/litre (ULSD),VAT percentage rate (ULSP),VAT percentage rate (ULSD)
613,23/02/2015,108.34,115.74,57.95,57.95,20,20
614,02/03/2015,109.2,116.64,57.95,57.95,20,20
615,09/03/2015,110.07,117.51,57.95,57.95,20,20
616,16/03/2015,111.04,118.26,57.95,57.95,20,20
617,23/03/2015,111.65,118.71,57.95,57.95,20,20
618,30/03/2015,112.06,118.97,57.95,57.95,20,20
619,06/04/2015,112.37,119.09,57.95,57.95,20,20
620,13/04/2015,112.52,119.15,57.95,57.95,20,20
621,20/04/2015,112.87,119.14,57.95,57.95,20,20
622,27/04/2015,113.55,119.58,57.95,57.95,20,20
623,04/05/2015,114.27,120,57.95,57.95,20,20
624,11/05/2015,115.1,120.59,57.95,57.95,20,20
625,18/05/2015,115.74,121.04,57.95,57.95,20,20
626,25/05/2015,116.02,121.32,57.95,57.95,20,20
627,01/06/2015,116.13,121.3,57.95,57.95,20,20
628,08/06/2015,116.26,121.34,57.95,57.95,20,20
629,15/06/2015,116.39,121.3,57.95,57.95,20,20
630,22/06/2015,116.6,121.21,57.95,57.95,20,20
631,29/06/2015,116.55,120.99,57.95,57.95,20,20
632,06/07/2015,116.34,120.76,57.95,57.95,20,20
633,13/07/2015,116.41,118.83,57.95,57.95,20,20
634,20/07/2015,116.79,118.43,57.95,57.95,20,20
635,27/07/2015,116.44,116.95,57.95,57.95,20,20
636,03/08/2015,116.12,115.17,57.95,57.95,20,20
637,10/08/2015,115.48,114.2,57.95,57.95,20,20
638,17/08/2015,114.58,112.05,57.95,57.95,20,20
639,24/08/2015,113.23,111.05,57.95,57.95,20,20
640,31/08/2015,111.21,109.92,57.95,57.95,20,20
641,07/09/2015,110.9,109.78,57.95,57.95,20,20
642,14/09/2015,110.6,109.95,57.95,57.95,20,20
643,21/09/2015,110.61,110.52,57.95,57.95,20,20
644,28/09/2015,109.47,110.45,57.95,57.95,20,20
645,05/10/2015,108.94,110.57,57.95,57.95,20,20
646,12/10/2015,108.97,110.78,57.95,57.95,20,20
647,19/10/2015,109.01,111.17,57.95,57.95,20,20
648,26/10/2015,108.04,110.61,57.95,57.95,20,20
649,02/11/2015,107.21,110.14,57.95,57.95,20,20
650,09/11/2015,107.14,110.08,57.95,57.95,20,20
651,16/11/2015,107.36,110.32,57.95,57.95,20,20
652,23/11/2015,107.29,110.27,57.95,57.95,20,20
653,30/11/2015,106.97,110.01,57.95,57.95,20,20
654,07/12/2015,106.75,109.92,57.95,57.95,20,20
655,14/12/2015,104,108.07,57.95,57.95,20,20
656,21/12/2015,102.33,107.04,57.95,57.95,20,20
657,28/12/2015,102.11,106.43,57.95,57.95,20,20
658,04/01/2016,102,106.32,57.95,57.95,20,20
659,11/01/2016,101.89,103.41,57.95,57.95,20,20
660,18/01/2016,101.8,102.81,57.95,57.95,20,20
661,25/01/2016,101.42,101.54,57.95,57.95,20,20
662,01/02/2016,101.36,100.84,57.95,57.95,20,20
663,08/02/2016,101.51,101.14,57.95,57.95,20,20
664,15/02/2016,101.45,101.21,57.95,57.95,20,20
665,22/02/2016,101.39,101.13,57.95,57.95,20,20
666,29/02/2016,101.42,101.38,57.95,57.95,20,20
667,07/03/2016,101.46,101.67,57.95,57.95,20,20
668,14/03/2016,101.71,102.52,57.95,57.95,20,20
669,21/03/2016,102.58,103.64,57.95,57.95,20,20
670,28/03/2016,103.4,104.4,57.95,57.95,20,20
671,04/04/2016,104.51,105.32,57.95,57.95,20,20
672,11/04/2016,105.39,105.98,57.95,57.95,20,20
673,18/04/2016,106.41,106.97,57.95,57.95,20,20
674,25/04/2016,107.14,107.67,57.95,57.95,20,20
675,02/05/2016,107.82,108.58,57.95,57.95,20,20
676,09/05/2016,108.19,109,57.95,57.95,20,20
677,16/05/2016,108.53,109.3,57.95,57.95,20,20
678,23/05/2016,109.12,109.9,57.95,57.95,20,20
679,30/05/2016,109.79,110.7,57.95,57.95,20,20
680,06/06/2016,110.4,111.43,57.95,57.95,20,20
681,13/06/2016,111.03,111.99,57.95,57.95,20,20
682,20/06/2016,111.22,112.31,57.95,57.95,20,20
683,27/06/2016,111.44,112.56,57.95,57.95,20,20
684,04/07/2016,111.65,112.86,57.95,57.95,20,20
685,11/07/2016,111.89,113.09,57.95,57.95,20,20
686,18/07/2016,111.92,113,57.95,57.95,20,20
687,25/07/2016,111.69,112.89,57.95,57.95,20,20
688,01/08/2016,111.05,112.43,57.95,57.95,20,20
689,08/08/2016,109.75,111.4,57.95,57.95,20,20
690,15/08/2016,109.28,111.02,57.95,57.95,20,20
691,22/08/2016,109.63,111.71,57.95,57.95,20,20
692,29/08/2016,110.43,112.55,57.95,57.95,20,20
693,05/09/2016,110.97,113.1,57.95,57.95,20,20
694,12/09/2016,111.31,113.42,57.95,57.95,20,20
695,19/09/2016,111.29,113.23,57.95,57.95,20,20
696,26/09/2016,111.36,113.38,57.95,57.95,20,20
697,03/10/2016,111.65,113.71,57.95,57.95,20,20
698,10/10/2016,112.35,114.4,57.95,57.95,20,20
699,17/10/2016,113.72,116,57.95,57.95,20,20
700,24/10/2016,115.2,117.7,57.95,57.95,20,20
701,31/10/2016,116.02,118.42,57.95,57.95,20,20
702,07/11/2016,116.56,119.03,57.95,57.95,20,20
703,14/11/2016,116.5,118.82,57.95,57.95,20,20
704,21/11/2016,114.71,117.42,57.95,57.95,20,20
705,28/11/2016,113.72,116.57,57.95,57.95,20,20
706,05/12/2016,113.66,116.75,57.95,57.95,20,20
707,12/12/2016,114.23,117.51,57.95,57.95,20,20
708,19/12/2016,115,118.61,57.95,57.95,20,20
709,26/12/2016,115.45,119.03,57.95,57.95,20,20
710,02/01/2017,117,120.03,57.95,57.95,20,20
711,09/01/2017,117.98,121.3,57.95,57.95,20,20
712,16/01/2017,118.63,122.1,57.95,57.95,20,20
713,23/01/2017,119.43,122.75,57.95,57.95,20,20
714,30/01/2017,120.01,123.19,57.95,57.95,20,20
715,06/02/2017,120.18,123.25,57.95,57.95,20,20
716,13/02/2017,120.15,123.17,57.95,57.95,20,20
717,20/02/2017,120.2,123.15,57.95,57.95,20,20
718,27/02/2017,120.12,123.06,57.95,57.95,20,20
719,06/03/2017,120.02,122.9,57.95,57.95,20,20
720,13/03/2017,119.8,122.77,57.95,57.95,20,20
721,20/03/2017,118.95,121.84,57.95,57.95,20,20
722,27/03/2017,118.03,121.08,57.95,57.95,20,20
723,03/04/2017,116.93,119.92,57.95,57.95,20,20
724,10/04/2017,117.02,119.98,57.95,57.95,20,20
725,17/04/2017,117.54,120.36,57.95,57.95,20,20
726,24/04/2017,118.15,120.77,57.95,57.95,20,20
727,01/05/2017,118.08,120.78,57.95,57.95,20,20
728,08/05/2017,117.06,119.34,57.95,57.95,20,20
729,15/05/2017,115.6,117.65,57.95,57.95,20,20
730,22/05/2017,115.67,117.76,57.95,57.95,20,20
731,29/05/2017,115.79,117.88,57.95,57.95,20,20
732,05/06/2017,115.82,117.95,57.95,57.95,20,20
733,12/06/2017,115.69,117.76,57.95,57.95,20,20
734,19/06/2017,115.12,117.18,57.95,57.95,20,20
735,26/06/2017,114.43,116.26,57.95,57.95,20,20
736,03/07/2017,113.74,115.63,57.95,57.95,20,20
737,10/07/2017,113.58,115.29,57.95,57.95,20,20
738,17/07/2017,113.89,115.58,57.95,57.95,20,20
739,24/07/2017,113.99,115.73,57.95,57.95,20,20
740,31/07/2017,114.16,115.99,57.95,57.95,20,20
741,07/08/2017,114.78,116.64,57.95,57.95,20,20
742,14/08/2017,115.53,117.43,57.95,57.95,20,20
743,21/08/2017,116.04,118.05,57.95,57.95,20,20
744,28/08/2017,116.4,118.24,57.95,57.95,20,20
745,04/09/2017,116.95,118.77,57.95,57.95,20,20
746,11/09/2017,118.14,119.94,57.95,57.95,20,20
747,18/09/2017,118.85,120.59,57.95,57.95,20,20
748,25/09/2017,118.87,120.92,57.95,57.95,20,20
749,02/10/2017,118.13,120.37,57.95,57.95,20,20
750,09/10/2017,117.16,120.51,57.95,57.95,20,20
751,16/10/2017,117.01,120.42,57.95,57.95,20,20
752,23/10/2017,117.04,120.65,57.95,57.95,20,20
753,30/10/2017,117.06,120.63,57.95,57.95,20,20
754,06/11/2017,117.57,121.27,57.95,57.95,20,20
755,13/11/2017,118.91,122.69,57.95,57.95,20,20
756,20/11/2017,119.67,123.32,57.95,57.95,20,20
757,27/11/2017,120.13,123.79,57.95,57.95,20,20
758,04/12/2017,119.75,123.21,57.95,57.95,20,20
759,11/12/2017,119.91,123.69,57.95,57.95,20,20
760,18/12/2017,119.98,123.81,57.95,57.95,20,20
761,25/12/2017,120,123.43,57.95,57.95,20,20
762,01/01/2018,120.19,123.51,57.95,57.95,20,20
763,08/01/2018,120.52,123.97,57.95,57.95,20,20
764,15/01/2018,120.96,124.58,57.95,57.95,20,20
765,22/01/2018,121.5,125.07,57.95,57.95,20,20
766,29/01/2018,121.69,125.32,57.95,57.95,20,20
767,05/02/2018,121.73,125.36,57.95,57.95,20,20
768,12/02/2018,121.58,125.02,57.95,57.95,20,20
769,19/02/2018,120.52,124.18,57.95,57.95,20,20
770,26/02/2018,119.55,123.09,57.95,57.95,20,20
771,05/03/2018,119.29,122.92,57.95,57.95,20,20
772,12/03/2018,119.11,122.96,57.95,57.95,20,20
773,19/03/2018,119.17,122.84,57.95,57.95,20,20
774,26/03/2018,119.23,122.9,57.95,57.95,20,20
775,02/04/2018,119.43,123.05,57.95,57.95,20,20
776,09/04/2018,119.96,123.58,57.95,57.95,20,20
777,16/04/2018,120.56,124.29,57.95,57.95,20,20
778,23/04/2018,121.44,125.39,57.95,57.95,20,20
779,30/04/2018,122.22,126.01,57.95,57.95,20,20
780,07/05/2018,123.27,126.99,57.95,57.95,20,20
781,14/05/2018,124.32,128.28,57.95,57.95,20,20
782,21/05/2018,125.93,130.04,57.95,57.95,20,20
783,28/05/2018,127.58,131.66,57.95,57.95,20,20
784,04/06/2018,128.43,132.34,57.95,57.95,20,20
785,11/06/2018,128.61,132.62,57.95,57.95,20,20
786,18/06/2018,127.92,131.98,57.95,57.95,20,20
787,25/06/2018,127.18,131.27,57.95,57.95,20,20
788,02/07/2018,126.54,130.83,57.95,57.95,20,20
789,09/07/2018,126.97,131.53,57.95,57.95,20,20
790,16/07/2018,127.47,131.85,57.95,57.95,20,20
791,23/07/2018,127.5,131.9,57.95,57.95,20,20
792,30/07/2018,127.54,131.94,57.95,57.95,20,20
793,06/08/2018,128.02,132.39,57.95,57.95,20,20
794,13/08/2018,128.39,132.56,57.95,57.95,20,20
795,20/08/2018,128.79,132.97,57.95,57.95,20,20
796,27/08/2018,129.18,133.2,57.95,57.95,20,20
797,03/09/2018,129.76,133.67,57.95,57.95,20,20
798,10/09/2018,130.24,134.31,57.95,57.95,20,20
799,17/09/2018,130.59,134.57,57.95,57.95,20,20
800,24/09/2018,130.59,134.77,57.95,57.95,20,20
801,01/10/2018,129.98,134.86,57.95,57.95,20,20
802,08/10/2018,130.15,135.53,57.95,57.95,20,20
803,15/10/2018,130.81,136.63,57.95,57.95,20,20
804,22/10/2018,130.98,136.93,57.95,57.95,20,20
805,29/10/2018,130.64,136.99,57.95,57.95,20,20
806,05/11/2018,130.11,137.03,57.95,57.95,20,20
807,12/11/2018,128.94,137.08,57.95,57.95,20,20
808,19/11/2018,127.4,136.38,57.95,57.95,20,20
809,26/11/2018,125.77,135.43,57.95,57.95,20,20
810,03/12/2018,124.3,134.38,57.95,57.95,20,20
811,10/12/2018,122.37,132.5,57.95,57.95,20,20
812,17/12/2018,121.02,131.26,57.95,57.95,20,20
813,24/12/2018,120.61,130.91,57.95,57.95,20,20
814,31/12/2018,120.18,130.26,57.95,57.95,20,20
815,07/01/2019,120.27,130.33,57.95,57.95,20,20
816,14/01/2019,119.53,129.47,57.95,57.95,20,20
817,21/01/2019,119.12,128.92,57.95,57.95,20,20
818,28/01/2019,119.29,129.1,57.95,57.95,20,20
819,04/02/2019,119.13,129.13,57.95,57.95,20,20
820,11/02/2019,118.97,129.17,57.95,57.95,20,20
821,18/02/2019,119.05,129.23,57.95,57.95,20,20
822,25/02/2019,119.22,129.66,57.95,57.95,20,20
823,04/03/2019,119.72,130.25,57.95,57.95,20,20
824,11/03/2019,120.1,130.59,57.95,57.95,20,20
825,18/03/2019,120.48,130.85,57.95,57.95,20,20
826,25/03/2019,120.83,131.15,57.95,57.95,20,20
827,01/04/2019,121.7,131.48,57.95,57.95,20,20
828,08/04/2019,122.75,132.08,57.95,57.95,20,20
829,15/04/2019,124.06,132.96,57.95,57.95,20,20
830,22/04/2019,125.43,133.99,57.95,57.95,20,20
831,29/04/2019,126.36,134.6,57.95,57.95,20,20
832,06/05/2019,127.5,135.41,57.95,57.95,20,20
833,13/05/2019,127.97,135.36,57.95,57.95,20,20
834,20/05/2019,128.51,135.82,57.95,57.95,20,20
835,27/05/2019,129.14,136.45,57.95,57.95,20,20
836,03/06/2019,129.41,136.39,57.95,57.95,20,20
837,10/06/2019,128.89,135.4,57.95,57.95,20,20
838,17/06/2019,127.66,133.76,57.95,57.95,20,20
839,24/06/2019,126.66,131.81,57.95,57.95,20,20
840,01/07/2019,126.49,131.55,57.95,57.95,20,20
841,08/07/2019,126.86,131.68,57.95,57.95,20,20
842,15/07/2019,127.13,131.86,57.95,57.95,20,20
843,22/07/2019,127.81,132.21,57.95,57.95,20,20
844,29/07/2019,128.03,132.6,57.95,57.95,20,20
845,05/08/2019,128.37,132.61,57.95,57.95,20,20
846,12/08/2019,128.36,132.59,57.95,57.95,20,20
847,19/08/2019,128.17,132.6,57.95,57.95,20,20
848,26/08/2019,128.22,132.51,57.95,57.95,20,20
849,02/09/2019,127.86,132.29,57.95,57.95,20,20
850,09/09/2019,127.79,131.89,57.95,57.95,20,20
851,16/09/2019,126.92,131.35,57.95,57.95,20,20
852,23/09/2019,126.78,131.52,57.95,57.95,20,20
853,30/09/2019,126.92,131.83,57.95,57.95,20,20
854,07/10/2019,126.87,131.82,57.95,57.95,20,20
855,14/10/2019,126.91,131.89,57.95,57.95,20,20
856,21/10/2019,126.4,131.28,57.95,57.95,20,20
857,28/10/2019,125.77,130.6,57.95,57.95,20,20
858,04/11/2019,125.56,130.38,57.95,57.95,20,20
859,11/11/2019,125.59,130.42,57.95,57.95,20,20
860,18/11/2019,125.58,130.35,57.95,57.95,20,20
861,25/11/2019,125.32,130.08,57.95,57.95,20,20
862,02/12/2019,124.81,129.79,57.95,57.95,20,20
863,09/12/2019,124.75,129.79,57.95,57.95,20,20
864,16/12/2019,124.33,129.56,57.95,57.95,20,20
865,23/12/2019,124.16,129.81,57.95,57.95,20,20
866,30/12/2019,124.96,130.54,57.95,57.95,20,20
867,06/01/2020,126.09,131.56,57.95,57.95,20,20
868,13/01/2020,127.17,132.69,57.95,57.95,20,20
869,20/01/2020,127.18,132.74,57.95,57.95,20,20
870,27/01/2020,127.33,132.88,57.95,57.95,20,20
871,03/02/2020,125.85,131.48,57.95,57.95,20,20
872,10/02/2020,124.73,129.7,57.95,57.95,20,20
873,17/02/2020,123.8,128.2,57.95,57.95,20,20
874,24/02/2020,123.45,127.67,57.95,57.95,20,20
875,02/03/2020,122.43,126.62,57.95,57.95,20,20
876,09/03/2020,122.24,126.25,57.95,57.95,20,20
877,16/03/2020,120.33,124.36,57.95,57.95,20,20
878,23/03/2020,119.64,123.41,57.95,57.95,20,20
879,30/03/2020,112.45,118.6,57.95,57.95,20,20
880,06/04/2020,110.23,116.83,57.95,57.95,20,20
881,13/04/2020,109.27,116.15,57.95,57.95,20,20
882,20/04/2020,108.63,115.73,57.95,57.95,20,20
883,27/04/2020,107.88,115.22,57.95,57.95,20,20
884,04/05/2020,107.56,114.94,57.95,57.95,20,20
885,11/05/2020,107.45,114.83,57.95,57.95,20,20
886,18/05/2020,105.09,112.22,57.95,57.95,20,20
887,25/05/2020,104.87,111.7,57.95,57.95,20,20
888,01/06/2020,105.17,111.76,57.95,57.95,20,20
889,08/06/2020,105.74,111.98,57.95,57.95,20,20
890,15/06/2020,106.37,112.53,57.95,57.95,20,20
891,22/06/2020,107.13,112.98,57.95,57.95,20,20
892,29/06/2020,108.31,114.1,57.95,57.95,20,20
893,06/07/2020,109.43,115.05,57.95,57.95,20,20
894,13/07/2020,111.24,116.75,57.95,57.95,20,20
895,20/07/2020,112.23,117.35,57.95,57.95,20,20
896,27/07/2020,112.66,117.76,57.95,57.95,20,20
897,03/08/2020,112.91,117.97,57.95,57.95,20,20
898,10/08/2020,113.02,118.01,57.95,57.95,20,20
899,17/08/2020,113.04,118,57.95,57.95,20,20
900,24/08/2020,113.22,118.14,57.95,57.95,20,20
901,31/08/2020,113.29,118.18,57.95,57.95,20,20
902,07/09/2020,113.37,118.22,57.95,57.95,20,20
903,14/09/2020,113.32,118.18,57.95,57.95,20,20
904,21/09/2020,113.31,118.16,57.95,57.95,20,20
905,28/09/2020,113.3,118.14,57.95,57.95,20,20
906,05/10/2020,113.26,118.11,57.95,57.95,20,20
907,12/10/2020,113.19,118.05,57.95,57.95,20,20
908,19/10/2020,113.18,118.08,57.95,57.95,20,20
909,26/10/2020,113.14,118.08,57.95,57.95,20,20
910,02/11/2020,113.11,118.06,57.95,57.95,20,20
